Site,Location,Year,Victims,Crime,Latitude,Longitude,id
Alexandra Hospital,Singapore,,200,Massacre,1.286148,103.802482,AA
Sook Ching,Singapore,,70000,Systemic Purge,2.521947,113.833569,BB
Manila,Philippines,,100000,Massacre and Rape,14.6042,120.9822,CC
Bataan,Philippines,,75000,Death March,14.723058,120.428554,DD
Laha Airfield,Indonesia,,300,Massacre,-3.686106,128.176359,EE
Bangka Island,Indonesia,,85,Massacre and Rape,-2.021179,106.114304,FF
Parit Sulong,Malaysia,,300,Massacre,4.481903,100.911485,GG
Palawan,Philippines,,139,Massacre,9.053145,117.912084,HH
SS Behar,Indonesia,,36,Massacre,-10.489873,105.64527,II
SS Tjisalak,Indian Ocean,,105,Massacre,-12.002,96.8785,JJ
Wake Island,Micronesia,1943,99,Massacre,19.285663,166.644535,KK
Faha,Guam,1944,30,Massacre,13.427861,144.733813,LL
Tinta,Guam,1944,46,Massacre,13.354173,144.703614,MM
Shinyo Maru,Philippines,1944,668,Massacre,6.91028,122.07389,NN
Unit 731,China,1935-1945,12000,Human Experimentation,45.747647,126.624467,OO
Chichijima,Bonin Islands,1944,5,Cannibalism,26.652351,142.158578,PP
Nanking,China,1937,"300,000",Massacre and Rape,32.044972,118.773596,QQ